Retorno_Anual;Volatilidade;Sharpe;Pareto_Eficiente;Peso_AAPL;Peso_AMZN;Peso_BRK_B;Peso_GOOGL;Peso_JNJ;Peso_JPM;Peso_MSFT;Peso_XOM
0,198575;0,237812;0,835007;0;0,0577961311026003;0,3707334390979684;0,16217341080381148;0,11244009267661835;0,020891386951085476;0,020887867151791112;0,007369879583536177;0,24770779263258855
0,217151;0,239339;0,907293;0;0,11342357143391818;0,15194809166472317;0,0025668345177912305;0,43237266656536283;0,22046257575851597;0,029456347080584984;0,02476571601994675;0,025004196959156993
0,192146;0,2059;0,933202;0;0,09266119493863535;0,19002765831849075;0,14445982531425988;0,0879277350582728;0,24173936450246797;0,03837565219142607;0,08825789402522242;0,11655067565122466
0,225794;0,240259;0,939796;0;0,11803350607831742;0,2981074705139519;0,04317424390590825;0,13995529300336113;0,17396878694883772;0,009219589655933743;0,18130127578397984;0,036239834109709886
0,195828;0,229543;0,853122;0;0,006554136984230276;0,28975346656367607;0,32843119185724934;0,16100170373653122;0,03539844263957083;0,01001452922230374;0,11232299854109808;0,05652353045534036
0,220321;0,246047;0,895444;0;0,02266478463883954;0,11903330619402477;0,00609382671453474;0,41801101780508226;0,05214774894217507;0,1891612075270448;0,06504961588909666;0,12783849228920216
0,180289;0,208858;0,863213;0;0,05457317614955627;0,014097319964790361;0,24090981514641677;0,10292482358675752;0,19347612173775708;0,15533795620216703;0,0628382678271853;0,17584251938536966
0,247043;0,236905;1,042794;0;0,02460916201807928;0,05793627383208382;0,012292426209650056;0,10452157911548883;0,13070912627929213;0,08407801681046037;0,46866413362609616;0,11718928210884921
0,226689;0,254329;0,891323;0;0,036656013035873077;0,08696081643732403;0,016882754813061798;0,18010902449159485;0,0086110733793466;0,4817196985284417;0,16443756689965422;0,02462305241470376
0,17886;0,215729;0,829093;0;0,0008723947108980172;0,2662353425521614;0,19332322754856981;0,205701091575505;0,23241315677480412;0,012119846388972655;0,06993321679264536;0,019401723656443475
0,264935;0,241315;1,097881;0;0,30494778989658766;0,14971911654189057;0,06162028321173031;0,010070421792748712;0,05712235857027838;0,060316075634419;0,20056721079817533;0,15563674355417007
0,25027;0,23118;1,082578;0;0,2535496902199221;0,07425129025057936;0,014799038901169011;0,14513246424354362;0,16619329664664825;0,09572516257964193;0,17124711512760263;0,07910194203089317
0,242749;0,24437;0,993367;0;0,20725650140905563;0,15629839898743678;0,007214473737120054;0,03198948239728718;0,008947752341882397;0,2834845558702542;0,10574578777657534;0,19906304748038853
0,284751;0,258908;1,099817;0;0,43589820998332496;0,052488451247698416;0,09670369151679929;0,25787600082017004;0,0475581582252417;0,0146633423254928;0,06262986809252034;0,03218227778875249
0,246786;0,235318;1,048733;0;0,2175969426401639;0,13530498492909918;0,08224533823655913;0,16814041947580843;0,13342663807586894;0,01692415407868592;0,18283514223543;0,06352638032838455
0,245592;0,242245;1,013819;0;0,1850572011086368;0,25435690164594377;0,04299459654802634;0,013097545271775122;0,02905994163904029;0,06257786408636097;0,19140212306165783;0,22145382663855898
0,255829;0,251212;1,01838;0;0,0013147192275480848;0,13471994080710623;0,10181566256338369;0,047333021955167254;0,024061642798625597;0,0776250526361807;0,5395612976230973;0,073568662388891
0,19706;0,217393;0,90647;0;0,06911600207077072;0,11472078218496641;0,042707704667386964;0,3371262528113401;0,3101217177753438;0,02740829880951407;0,06497789022068061;0,03382135145999741
0,260444;0,246626;1,056029;0;0,06633295077480181;0,007436515197953895;0,18608702302717628;0,13821003175869354;0,010457187059632774;0,0646266429666202;0,4726632329283209;0,05418641628680049
0,162084;0,209922;0,772112;0;0,016523704378102244;0,07096636106548161;0,4480088592688268;0,029255949531960184;0,11771794782130861;0,1513639872561552;0,02864246129755657;0,13752072938060886
0,211266;0,236734;0,89242;0;0,08013658738820734;0,1748592570336291;0,1754419581470659;0,13411685360443792;0,01653845319523323;0,31522519469765414;0,06760330555180888;0,03607839038196337
0,193774;0,212101;0,913592;0;0,00971257752633983;0,2085261142239978;0,2640706497395423;0,003902539331075715;0,16742932753256612;0,059919260914068705;0,2417366336948391;0,04470289703757051
0,227267;0,223111;1,018624;0;0,11989639044644637;0,04992655243293376;0,2818529460177411;0,015106295275889307;0,04259252222232598;0,012298314561293055;0,26407050371701196;0,21425647532635828
0,181545;0,217831;0,833422;0;0,0409188231791333;0,14796396911915025;0,23310260888816337;0,11111840932259254;0,10345757349392896;0,03797667931809029;0,013404196407621038;0,3120577402713202
0,24101;0,229304;1,051048;0;0,20205944063203868;0,08782779999681914;0,03626796151603379;0,03762751620799921;0,1133873158611402;0,19919712686074817;0,19105397633780707;0,13257886258741372
0,229003;0,232234;0,986087;0;0,17967453204181524;0,015372082538911088;0,03083349635436623;0,40020681853839396;0,16309127764552514;0,0016159880596988455;0,01871353848042216;0,1904922663408673
0,205716;0,21572;0,953629;0;0,0010191605910469205;0,03521079657444067;0,15980962595221018;0,23645447389494845;0,21197708312638827;0,051003824507051335;0,2501322230028255;0,05439281235108877
0,194846;0,221204;0,88084;0;0,05485930680350252;0,19125992706760753;0,1461633690072142;0,26367427420903594;0,1493742873907861;0,1170735807335033;0,013707626249713965;0,06388762853863646
0,17719;0,200114;0,885446;0;0,03019636298519394;0,027407596133073777;0,3539672692956236;0,0489345758550066;0,21812934492339367;0,09772798766669342;0,15519775210259998;0,0684391110384152
0,26085;0,255029;1,022822;0;0,18603909701926236;0,14670491415038875;0,04698039374180687;0,27722626526636274;0,07128274748861796;0,00532418355553776;0,22428112862688673;0,04216127015113702
0,222009;0,234731;0,945801;0;0,18276799141097794;0,1993843751719444;0,1596020854155978;0,029949964074649324;0,001009199124406314;0,1707462359195754;0,03621163251371689;0,22032851636913217
0,240349;0,22983;1,045771;0;0,3543526437946579;0,2050348205549958;0,03729619420118574;0,05200138424942084;0,20368099079530627;0,040757681399955614;0,019859727235421763;0,087016557769056
0,22531;0,239254;0,941722;0;0,24272600809280548;0,1050576198960437;0,07446970669574471;0,009018827878745372;0,08421109294154036;0,4067560228680077;0,013314592544704339;0,06444612908240804
0,246973;0,235214;1,049992;0;0,21056072551460742;0,13545364565317977;0,11980565254961253;0,12163303951054533;0,04469780077855174;0,034872116364608324;0,1662901659678182;0,16668685366107658
0,223719;0,224439;0,996795;0;0,1781904262697927;0,2158661761096553;0,06323296223532605;0,061474956310254465;0,14136819256093;0,09269302263540444;0,10689488392480163;0,1402793799538355
0,260286;0,231758;1,123095;1;0,40145136518309266;0,07501919280697458;0,08565043536913772;0,017950092088680075;0,15703123869921426;0,006657278719779359;0,11396255124203682;0,14227784589108464
0,168481;0,196069;0,859297;0;0,07760231502391447;0,205395899339887;0,007119426075951521;0,00874865943603556;0,3974806957428562;0,10264480039001131;0,031233254057072807;0,16977494993427122
0,249303;0,23582;1,057175;0;0,27313736055953625;0,04518402532596206;0,18124674983378936;0,016580069498624613;0,009862266898005921;0,14085907372084175;0,14457639766766145;0,18855405649557866
0,209584;0,242275;0,865066;0;0,1489141237117943;0,42819082288697036;0,08351992228724368;0,04485035731559426;0,18234244320937223;0,036321371897666516;0,06646526438931974;0,009395694302039093
0,185879;0,241577;0,769441;0;0,0034301936920284413;0,43915107665623554;0,24149417618569188;0,15905433817393036;0,0702479891059624;0,02542247084067786;0,022725911992853613;0,038473843352619726
0,17981;0,198198;0,907226;0;0,0825704815867382;0,12993493303175235;0,11185595762601909;0,0340329779714183;0,3210528366803348;0,1387608052474231;0,08375597814485086;0,09803602971146337
0,246619;0,260202;0,947798;0;0,18673324440183758;0,09770593193907753;0,15102857936331246;0,48677070910205295;0,004976259255805007;0,04234856137451099;0,016164473759242758;0,014272240804160681
0,23959;0,231323;1,035738;0;0,32381097523958535;0,20361464218396386;0,10761057798401696;0,017236339510815546;0,11325798712165203;0,10738720495901548;0,03184109132645045;0,09524118167450023
0,202111;0,225952;0,894487;0;0,07687122177498011;0,1446766182244502;0,15244818856521183;0,007010961613906433;0,07098076527312876;0,14866924266007006;0,10577000305922937;0,2935729988290234
0,278548;0,254117;1,096138;0;0,15497011328651428;0,025639559311357984;0,01055009923622032;0,1482549756605257;0,0038734892896115144;0,12705647383605026;0,4061401361939883;0,12351515318573167
0,20919;0,211132;0,990801;0;0,04143682219582068;0,08694105734086562;0,05169735787599039;0,06652944097586277;0,23937065790656756;0,0411523258877108;0,27403185848104944;0,19884047933613286
0,205272;0,257843;0,796115;0;0,10275787585121333;0,033899907572667747;0,05009489281074903;0,00867250224564535;0,04678417255781252;0,5417988404910133;0,03482680595190802;0,1811650025189907
0,235584;0,234775;1,003445;0;0,22418607752687386;0,0028327536975662404;0,20265254068382962;0,039830033049015404;0,015128002242217338;0,1435390894157595;0,11926739302034912;0,25256411036438886
0,25117;0,239242;1,049857;0;0,11349050377737503;0,13901186952789152;0,028309439684767807;0,01668943863505455;0,11865649697209206;0,14048259474028496;0,39789835584943267;0,04546130081310146
0,209061;0,221857;0,942326;0;0,044909089910161404;0,1445946346473021;0,040226490697120976;0,257743220354583;0,18869682162827345;0,05409003707322261;0,13415321551590023;0,1355864901734363
0,205318;0,244243;0,840631;0;0,013535768343796566;0,28958121870922804;0,08751781249311312;0,21780753596269353;0,04797266078649477;0,2809184321479726;0,061311371147437274;0,0013552004092642084
0,226232;0,219983;1,028405;0;0,20885935033929767;0,008479209023926917;0,034071953582714955;0,2654666304073486;0,26643896798183253;0,07546844650333913;0,08851007234198842;0,05270536981955176
0,180648;0,210029;0,86011;0;0,048450739328964786;0,055635994822046446;0,15585922910683156;0,19488454679169206;0,2189488182958104;0,21764137862904562;0,013352670345689628;0,09522662267991941
0,202862;0,234079;0,866638;0;0,010273497811042294;0,13819975118752614;0,10095661378385351;0,37894020611370116;0,07489864787198074;0,021576839879817924;0,026741459484408737;0,24841298386766963
0,262037;0,253874;1,032156;0;0,17586808149874583;0,019471346039368974;0,016046205116343432;0,22048830154810084;0,013797972230375717;0,31509329804502084;0,22373775640806826;0,015497039113976138
0,217218;0,234445;0,926519;0;0,005674785145274354;0,27623498846538597;0,030010563731773306;0,029640433964735258;0,1072545467747314;0,18832964690082543;0,273246678889422;0,08960835612785217
0,191071;0,231474;0,825455;0;0,07157826315836614;0,01322228170309654;0,22765159539914956;0,12394626170207236;0,0837114711995828;0,35912457219850263;0,017875604166303054;0,10288995047292698
0,229917;0,240066;0,957723;0;0,0026886497848571437;0,148895750195492;0,01364515424065813;0,02978388801925848;0,02943899102198672;0,24666308683535118;0,32272438555671845;0,20616009434567797
0,240161;0,245645;0,977674;0;0,24843876678271795;0,03564142125267086;0,025526450259057986;0,1539695227592022;0,019200234764287394;0,25057437693757983;0,0009277567735869519;0,2657214704708968
0,24385;0,26203;0,930619;0;0,003373888543308873;0,16959460734854492;0,05736530287278372;0,3790608983680325;0,005862484329790811;0,06172166488207315;0,2663975814678044;0,056623572187661605
0,207878;0,228343;0,910377;0;0,13514810768965668;0,16200717048605023;0,08252537227854027;0,13447359579558338;0,11951755279766543;0,31508690874493017;0,0063326182634764515;0,04490867394409714
0,267512;0,258674;1,034165;0;0,3583835571984612;0,26361935305891293;0,0725566922712097;0,11547661225000119;0,03875813803816227;0,024863090551618013;0,07433230821440684;0,05201024841722789
0,199533;0,220635;0,904357;0;0,06780381931713783;0,006261773881884066;0,283594954518454;0,3314859159301841;0,09269081838645966;0,05943398055959631;0,02865998473854846;0,1300687526677356
0,189985;0,202824;0,936701;0;0,10254738790785758;0,01576625940135706;0,21483505549198226;0,15359900097793716;0,2657776213927671;0,11492013502602647;0,08443121535372042;0,048123324448351774
0,280937;0,259817;1,081291;0;0,23581099523667473;0,17564631449314996;0,004042828263703899;0,002334575602967408;0,041268632086266105;0,1453515214539181;0,3813031272073604;0,014242005655959379
